box_set_slug,category_name,odds_numerator,odds_denominator,pull_probability,odds_source,notes,_needs_review,_source_notes
2023-topps-chrome-baseball-hobby,Refractor,1,3,0.333333,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Numbered Refractor,1,96,0.010417,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Numbered Rookie Refractor,1,96,0.010417,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Superfractor,1,37469,2.7e-05,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Insert,1,6,0.166667,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Short Print,1,497,0.002012,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Base Auto,1,52,0.019231,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Refractor Auto,1,172,0.005814,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Numbered Autograph,1,291,0.003436,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-hobby,Memorabilia / Relic,1,575,0.001739,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Refractor,1,1,1,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Numbered Refractor,1,42,0.02381,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Numbered Rookie Refractor,1,42,0.02381,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Superfractor,1,16695,6e-05,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Insert,1,2,0.5,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Short Print,1,216,0.00463,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Base Auto,1,9,0.111111,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Refractor Auto,1,28,0.035714,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Numbered Autograph,1,48,0.020833,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-jumbo,Memorabilia / Relic,1,208,0.004808,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Refractor,1,5,0.2,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Numbered Refractor,1,166,0.006024,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Numbered Rookie Refractor,1,166,0.006024,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Superfractor,1,65337,1.5e-05,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Insert,1,4,0.25,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Short Print,1,861,0.001161,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Base Auto,1,120,0.008333,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Refractor Auto,1,396,0.002525,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-blaster,Numbered Autograph,1,672,0.001488,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Numbered Refractor,1,4,0.25,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Numbered Rookie Refractor,1,4,0.25,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Superfractor,1,1202,0.000832,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Short Print,1,16,0.0625,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Base Auto,1,2,0.5,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Refractor Auto,1,5,0.2,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-breaker,Numbered Autograph,1,8,0.125,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Refractor,1,4,0.25,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Numbered Refractor,1,139,0.007194,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Numbered Rookie Refractor,1,139,0.007194,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Superfractor,1,59756,1.7e-05,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Insert,1,11,0.090909,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Short Print,1,721,0.001387,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Base Auto,1,93,0.010753,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Refractor Auto,1,307,0.003257,Baseballcardpedia,,,BBP insertion ratio table
2023-topps-chrome-baseball-mega,Numbered Autograph,1,521,0.001919,Baseballcardpedia,,,BBP insertion ratio table
